,ID,N_DCODE,음식코드명
1679,A614283302,144,잡곡밥
1699,A614322403,144,잡곡밥
1700,A614322403,144,잡곡밥
1701,A614322403,144,잡곡밥
1702,A614322403,144,잡곡밥
1703,A614322403,144,잡곡밥
1704,A614322403,144,잡곡밥
1705,A614322403,144,잡곡밥
1706,A614322403,144,잡곡밥
1734,A615205101,144,잡곡밥
1735,A615205101,144,잡곡밥
1736,A615205101,144,잡곡밥
1737,A615205101,144,잡곡밥
1738,A615205101,144,잡곡밥
1812,A615353001,144,잡곡밥
1813,A615353001,144,잡곡밥
1814,A615353001,144,잡곡밥
1815,A615353001,144,잡곡밥
1816,A615353001,144,잡곡밥
1817,A615353001,144,잡곡밥
1818,A615353001,144,잡곡밥
1819,A615353001,144,잡곡밥
1851,A617327501,144,잡곡밥
1852,A617327501,144,잡곡밥
1853,A617327501,144,잡곡밥
1854,A617327501,144,잡곡밥
1855,A617327501,144,잡곡밥
1856,A617327501,144,잡곡밥
1857,A617327501,144,잡곡밥
1858,A617327501,144,잡곡밥
1881,A618234001,144,잡곡밥
1882,A618234001,144,잡곡밥
1883,A618234001,144,잡곡밥
1884,A618234001,144,잡곡밥
1885,A618234001,144,잡곡밥
1886,A618234001,144,잡곡밥
1887,A618234001,144,잡곡밥
1888,A618234001,144,잡곡밥
1897,A618268001,144,잡곡밥
1898,A618268001,144,잡곡밥
1899,A618268001,144,잡곡밥
1900,A618268001,144,잡곡밥
1901,A618268001,144,잡곡밥
1902,A618268001,144,잡곡밥
1903,A618268001,144,잡곡밥
1904,A618268001,144,잡곡밥
1941,A619213602,144,잡곡밥
1942,A619213602,144,잡곡밥
1943,A619213602,144,잡곡밥
1944,A619213602,144,잡곡밥
1945,A619213602,144,잡곡밥
1946,A619213602,144,잡곡밥
1947,A619213602,144,잡곡밥
2005,A619288401,144,잡곡밥
2006,A619288401,144,잡곡밥
2007,A619288401,144,잡곡밥
2008,A619288401,144,잡곡밥
2009,A619288401,144,잡곡밥
2010,A619288401,144,잡곡밥
2011,A619288401,144,잡곡밥
2012,A619288401,144,잡곡밥
2013,A619288402,144,잡곡밥
2014,A619288402,144,잡곡밥
2015,A619288402,144,잡곡밥
2016,A619288402,144,잡곡밥
2063,A619390401,144,잡곡밥
2064,A619390401,144,잡곡밥
2065,A619390401,144,잡곡밥
2066,A619390401,144,잡곡밥
2067,A619390401,144,잡곡밥
2190,A621364902,144,잡곡밥
2191,A621364902,144,잡곡밥
2192,A621364902,144,잡곡밥
2193,A621364902,144,잡곡밥
2194,A621364902,144,잡곡밥
2195,A621364902,144,잡곡밥
2196,A621364902,144,잡곡밥
2197,A621364902,144,잡곡밥
2198,A621364902,144,잡곡밥
2199,A621364902,144,잡곡밥
2200,A621364902,144,잡곡밥
2201,A621364902,144,잡곡밥
2202,A621364902,144,잡곡밥
2203,A621364902,144,잡곡밥
2204,A621364902,144,잡곡밥
2205,A621364902,144,잡곡밥
2220,A621405701,144,잡곡밥
2221,A621405701,144,잡곡밥
2222,A621405701,144,잡곡밥
2223,A621405701,144,잡곡밥
2224,A621405701,144,잡곡밥
2225,A621405701,144,잡곡밥
2226,A621405701,144,잡곡밥
2227,A621405701,144,잡곡밥
2228,A621405701,144,잡곡밥
2229,A621405701,144,잡곡밥
2230,A621405701,144,잡곡밥
2231,A621405701,144,잡곡밥
2244,A622245902,144,잡곡밥
2245,A622245902,144,잡곡밥
2246,A622245902,144,잡곡밥
2247,A622245902,144,잡곡밥
2248,A622245902,144,잡곡밥
2249,A622245902,144,잡곡밥
